Images,Time,ZT,Light,Genotype,Rep,Target,Rel. Quant.,Scaled,Scaled ZT,Normalized
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",0,17,DD,WT,2,RVE4,0.187781556,0.187781556,0.593848011,0.073080702
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",1,17,DD,WT,2,RVE4,0.316211475,0.316211475,1,0.123062973
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",2,17,DD,WT,2,RVE4,0.228853997,0.228853997,0.723737165,0.089065247
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",4,17,DD,WT,2,RVE4,0.231867146,0.231867146,0.733266071,0.090237902
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",0,5,DD,WT,3,RVE4,1,1,1,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",1,5,DD,WT,3,RVE4,0.420914727,0.420914727,0.420914727,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",2,5,DD,WT,3,RVE4,0.342803594,0.342803594,0.342803594,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",4,5,DD,WT,3,RVE4,0.143147961,0.143147961,0.143147961,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",0,17,DD,WT,3,RVE4,0.127027541,0.127027541,0.29961905,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",1,17,DD,WT,3,RVE4,0.123045178,0.123045178,0.290225875,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",2,17,DD,WT,3,RVE4,0.156586853,0.156586853,0.36934041,NA
"RVE4: 2018-06-07 11hr 40min 21sec, actin: 2018-06-07 15hr 11min 14sec",4,17,DD,WT,3,RVE4,0.423963501,0.423963501,1,NA
