Experiment,Blot,Label,Time,ZT,Light,Genotype,Rep,Target,Rel. Vol. (HA/control),Scaled,Scaled ZT
CHX 5,58,ZT7 2h DD,2,7,DD,WT,1,RVE8,0.815573112,0.573900087,0.573900087
CHX 5,58,ZT7 4h DD,4,7,DD,WT,1,RVE8,0.646793392,0.45513367,0.45513367
CHX 5,58,ZT19 0h DD,0,19,DD,WT,1,RVE8,0.276990744,0.194912031,1
CHX 5,58,ZT19 1h DD,1,19,DD,WT,1,RVE8,0.204910705,0.144190962,0.739774558
CHX 5,58,ZT19 2h DD,2,19,DD,WT,1,RVE8,0.146597114,0.103157026,0.529249146
CHX 5,58,ZT19 4h DD,4,19,DD,WT,1,RVE8,0.150718169,0.106056918,0.544127097
CHX 7,97,ZT7 0h WT,0,7,60B,WT,1,RVE8,0.746688186,0.502589441,0.851049389
CHX 7,97,ZT7 1h WT,1,7,60B,WT,1,RVE8,0.877373506,0.590552614,1
CHX 7,97,ZT7 2h WT,2,7,60B,WT,1,RVE8,0.830906888,0.55927633,0.947038954
CHX 7,97,ZT7 4h WT,4,7,60B,WT,1,RVE8,0.677267362,0.455862877,0.771925933
CHX 7,97,ZT19 0h WT,0,19,60B,WT,1,RVE8,1.4856822,1,1
CHX 7,97,ZT19 1h WT,1,19,60B,WT,1,RVE8,0.531263152,0.357588691,0.357588691
CHX 7,97,ZT19 2h WT,2,19,60B,WT,1,RVE8,0.434260465,0.29229701,0.29229701
CHX 7,97,ZT19 4h WT,4,19,60B,WT,1,RVE8,0.288692393,0.194316384,0.194316384
CHX 7,99,ZT7 0h 60B WT,0,7,60B,WT,2,RVE8,2.187752899,0.884953082,0.884953082
CHX 7,99,ZT7 1h 60B WT,1,7,60B,WT,2,RVE8,2.472168235,1,1
CHX 7,99,ZT7 2h 60B WT,2,7,60B,WT,2,RVE8,1.91128347,0.773120309,0.773120309
CHX 7,99,ZT7 4h 60B WT,4,7,60B,WT,2,RVE8,1.436619947,0.581117388,0.581117388
CHX 7,99,ZT19 0h 60B WT,0,19,60B,WT,2,RVE8,1.740079767,0.703867861,1
CHX 7,99,ZT19 1h 60B WT,1,19,60B,WT,2,RVE8,0.953417567,0.385660472,0.547916013
CHX 7,99,ZT19 2h 60B WT,2,19,60B,WT,2,RVE8,0.716384297,0.289779752,0.41169624
CHX 7,99,ZT19 4h 60B WT,4,19,60B,WT,2,RVE8,0.381478227,0.154309169,0.21923031
CHX 8 ,101,ZT7 0h 60B WT,0,7,60B,WT,1,RVE8,1.389158436,1,1
CHX 8 ,101,ZT7 1h 60B WT,1,7,60B,WT,1,RVE8,1.266249478,0.911522721,0.911522721
CHX 8 ,101,ZT7 2h 60B WT,2,7,60B,WT,1,RVE8,0.697705248,0.502250305,0.502250305
CHX 8 ,101,ZT7 4h 60B WT,4,7,60B,WT,1,RVE8,0.758112468,0.545735064,0.545735064
CHX 8 ,101,ZT19 0h 60B WT,0,19,60B,WT,1,RVE8,0.946999871,0.681707605,1
CHX 8 ,101,ZT19 1h 60B WT,1,19,60B,WT,1,RVE8,0.37732243,0.271619436,0.398439791
CHX 8 ,101,ZT19 2h 60B WT,2,19,60B,WT,1,RVE8,0.232353033,0.167261723,0.245356985
CHX 8 ,101,ZT19 4h 60B WT,4,19,60B,WT,1,RVE8,0.088723174,0.06386829,0.093688687
